Data_type,Region,Subnational,Frequency,Unit,Source,Status,Series ID,SR Code,Trade Code,Mnemonic,Function Description,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CN: Local Government Debt Outstanding: Beijing,China,Beijing,"Annual, ending ""Dec"" of each year",RMB mn,Beijing Municipal Bureau of Statistics,Active,477090847 (CFBCGS),SR163595067,,,,2015,2021,20/04/2022,,,534236.594,30776587190.499,175432.572,1.389,2.041,0.328,374346.000,877068.156,496406.000,7,,,,,,,,,,,,,,,,,572900.000,374346.000,387688.000,424889.000,496406.000,606359.000,877068.156,
CN: Local Government Debt Outstanding: Tianjin,China,Tianjin,"Annual, ending ""Dec"" of each year",RMB mn,Tianjin Municipal Bureau of Statistics,Active,477090857 (CFBCGT),SR163595077,,,,2015,2021,20/04/2022,,,455412.631,40029057283.972,200072.630,0.721,-0.436,0.439,225423.070,788203.910,407835.610,7,,,,,,,,,,,,,,,,,225423.070,291273.970,342398.000,407835.610,495929.860,636824.000,788203.910,
CN: Local Government Debt Outstanding: Hebei: Shijiazhuang,China,Shijiazhuang,"Annual, ending ""Dec"" of each year",RMB mn,Shijiazhuang Municipal Bureau of Statistics,Active,477090867 (CFBCGU),SR163595087,,,,2017,2021,18/08/2022,,,131287.200,1060907620.200,32571.577,0.276,-2.002,0.248,94753.000,172689.000,125961.000,5,,,,,,,,,,,,,,,,,,,94753.000,107368.000,125961.000,155665.000,172689.000,
CN: Local Government Debt Outstanding: Hebei: Tangshan,China,Tangshan,"Annual, ending ""Dec"" of each year",RMB mn,Tangshan Municipal Bureau of Statistics,Active,477090877 (CFBCGV),SR163595097,,,,2017,2021,18/08/2022,,,166130.450,717671208.335,26789.386,0.580,-1.672,0.161,139454.980,202767.000,158816.050,5,,,,,,,,,,,,,,,,,,,139454.980,145315.260,158816.050,184298.960,202767.000,
CN: Local Government Debt Outstanding: Hebei: Qinhuangdao,China,Qinhuangdao,"Annual, ending ""Dec"" of each year",RMB mn,Qinhuangdao Municipal Bureau of Statistics,Active,477090887 (CFBCGW),SR163595107,,,,2017,2021,18/08/2022,,,51631.252,46576997.708,6824.734,0.734,-0.985,0.132,44815.000,61420.000,49535.260,5,,,,,,,,,,,,,,,,,,,44815.000,46763.000,49535.260,55623.000,61420.000,
CN: Local Government Debt Outstanding: Hebei: Handan,China,Handan,"Annual, ending ""Dec"" of each year",RMB mn,Handan Municipal Bureau of Statistics,Active,477090897 (CFBCGX),SR163595117,,,,2018,2021,18/08/2022,,,81337.250,251507884.917,15859.000,-0.034,-2.922,0.195,63607.000,98786.000,81478.000,4,,,,,,,,,,,,,,,,,,,,63607.000,73242.000,89714.000,98786.000,
CN: Local Government Debt Outstanding: Hebei: Xingtai,China,Xingtai,"Annual, ending ""Dec"" of each year",RMB mn,Xingtai Municipal Bureau of Statistics,Active,477090907 (CFBCGY),SR163595127,,,,2018,2021,18/08/2022,,,56357.750,310153952.250,17611.188,0.716,-0.612,0.312,38966.000,79196.000,53634.500,4,,,,,,,,,,,,,,,,,,,,38966.000,46868.000,60401.000,79196.000,
CN: Local Government Debt Outstanding: Hebei: Baoding,China,Baoding,"Annual, ending ""Dec"" of each year",RMB mn,Baoding Municipal Bureau of Statistics,Active,477090917 (CFBCGZ),SR163595137,,,,2017,2021,18/08/2022,,,58392.658,561749048.570,23701.246,0.690,-0.765,0.406,34751.000,92595.000,54249.000,5,,,,,,,,,,,,,,,,,,,34751.000,39684.000,54249.000,70684.290,92595.000,
CN: Local Government Debt Outstanding: Hebei: Zhangjiakou,China,Zhangjiakou,"Annual, ending ""Dec"" of each year",RMB mn,Zhangjiakou Municipal Bureau of Statistics,Active,477090927 (CFBCHA),SR163595147,,,,2018,2021,18/08/2022,,,66397.750,361299904.917,19007.891,0.101,-3.212,0.286,46069.000,87782.000,65870.000,4,,,,,,,,,,,,,,,,,,,,46069.000,55555.000,76185.000,87782.000,
CN: Local Government Debt Outstanding: Hebei: Chengde,China,Chengde,"Annual, ending ""Dec"" of each year",RMB mn,Chengde Municipal Bureau of Statistics,Active,477090937 (CFBCHB),SR163595157,,,,2018,2021,18/08/2022,,,57773.250,45862986.917,6772.222,-0.148,-3.331,0.117,50103.000,64877.000,58056.500,4,,,,,,,,,,,,,,,,,,,,50103.000,54306.000,61807.000,64877.000,
