Province,Province_ch,Region,Region_ch,District/County,District/County_ch,Longitude,Latitude,Post Code
Beijing,北京市,Beijing,北京市,Beijing,北京市,116.4,39.9,100000
Beijing,北京市,Beijing,北京市,Dongcheng Area,东城区,116.42,39.93,100010
Beijing,北京市,Beijing,北京市,Xicheng District,西城区,116.37,39.92,100032
Beijing,北京市,Beijing,北京市,Chongwen District,崇文区,116.43,39.88,100000
Beijing,北京市,Beijing,北京市,Xuanwu District,宣武区,116.35,39.87,100000
Beijing,北京市,Beijing,北京市,Chaoyang District,朝阳区,116.43,39.92,100020
Beijing,北京市,Beijing,北京市,Fengtai District,丰台区,116.28,39.85,100071
Beijing,北京市,Beijing,北京市,Shijingshan District,石景山区,116.22,39.9,100043
Beijing,北京市,Beijing,北京市,Haidian District,海淀区,116.3,39.95,100089
Beijing,北京市,Beijing,北京市,Mentougou area,门头沟区,116.1,39.93,102300
Beijing,北京市,Beijing,北京市,Fangshan District,房山区,116.13,39.75,102488
Beijing,北京市,Beijing,北京市,Tongzhou District,通州区,116.65,39.92,101149
Beijing,北京市,Beijing,北京市,Shunyi District,顺义区,116.65,40.13,101300
Beijing,北京市,Beijing,北京市,Changping District,昌平区,116.23,40.22,102200
Beijing,北京市,Beijing,北京市,Daxing District,大兴区,116.33,39.73,102600
Beijing,北京市,Beijing,北京市,Huairou District,怀柔区,116.63,40.32,101400
Beijing,北京市,Beijing,北京市,Pinggu District,平谷区,117.12,40.13,101200
Beijing,北京市,Beijing,北京市,Miyun County,密云县,116.83,40.37,101500
Beijing,北京市,Beijing,北京市,Yanqing County,延庆县,115.97,40.45,102100
Tianjin,天津市,Tianjin,天津市,Tianjin,天津市,117.2,39.12,300000
Tianjin,天津市,Tianjin,天津市,Heping District,和平区,117.2,39.12,300041
Tianjin,天津市,Tianjin,天津市,Hedong District,河东区,117.22,39.12,300171
Tianjin,天津市,Tianjin,天津市,Hexi District,河西区,117.22,39.12,300202
Tianjin,天津市,Tianjin,天津市,Nankai District,南开区,117.15,39.13,300110
Tianjin,天津市,Tianjin,天津市,Hebei District,河北区,117.18,39.15,300143
Tianjin,天津市,Tianjin,天津市,Hongqiao District,红桥区,117.15,39.17,300131
Tianjin,天津市,Tianjin,天津市,Tanggu District,塘沽区,117.65,39.02,300450
Tianjin,天津市,Tianjin,天津市,Hangu District,汉沽区,117.8,39.25,300480
Tianjin,天津市,Tianjin,天津市,Dagang District,大港区,117.45,38.83,300000
Tianjin,天津市,Tianjin,天津市,Dongli District,东丽区,117.3,39.08,300300
Tianjin,天津市,Tianjin,天津市,West Qing District,西青区,117,39.13,300380
