Name,Unit,ID,Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China: Jiangsu: Revenue of Local Government Funds: Total,CNY 10k,M0065580,Jiangsu Provincial Bureau of Statistics,0.00 ,"8,127,800.00 ","13,153,200.00 ","17,788,900.00 ","35,643,000.00 ","40,695,918.00 ","36,123,744.00 ","50,180,970.00 ","54,168,580.00 ","46,180,811.00 ","60,478,157.00 ","70,057,967.00 ","82,228,061.00 ","92,495,915.00 ","113,593,900.00 ","136,329,482.00 ","114,785,823.00 "
China: Inner Mongolia: Revenue of Local Government Funds: Total,CNY 10k,M0065548,Inner Mongolia Provincial Bureau of Statistics,"1,183,000.00 ","1,828,000.00 ","2,776,000.00 ","3,174,000.00 ","6,073,000.00 ","8,220,000.00 ","6,992,000.00 ","6,467,000.00 ","5,025,000.00 ","2,500,777.00 ","2,633,835.00 ","3,427,693.00 ","5,674,583.00 ","6,373,946.00 ","6,564,000.00 ","5,049,198.00 ","4,077,000.00 "
China: Hebei: Revenue of Local Government Funds: Total,CNY 10k,M0065521,Hebei Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"12,165,835.00 ","17,490,602.00 ","16,111,925.00 ","13,774,674.00 ","15,812,300.00 ","24,185,762.00 ","29,071,374.00 ","33,183,822.00 ","31,649,501.00 ","28,070,008.00 ","20,160,978.00 "
China: Shanghai: Governmental Funds Revenue: Total,CNY 100mn,M6804053,Shanghai Municipal Finance Bureau,0.00 ,0.00 ,0.00 ,824.70 ,"2,255.60 ","1,808.20 ","1,673.30 ","2,430.70 ","2,532.70 ","2,312.20 ","2,295.00 ","1,960.60 ","2,095.40 ","2,418.10 ","3,175.00 ","3,769.00 ","4,041.50 "
China: Guangdong: Revenue of Local Government Funds: Total,CNY 10k,M0159723,Guangdong Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"23,107,088.00 ","22,640,290.00 ","36,737,246.00 ","40,624,334.00 ","35,551,499.00 ","38,699,868.00 ","56,221,500.00 ","59,444,800.00 ","61,149,400.00 ","86,424,200.00 ","84,919,100.00 ","51,961,873.00 "
China: Heilongjiang: Revenue of Local Government Funds: Total,CNY 10k,M0065565,Heilongjiang Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,643,612.00 ","5,584,000.00 ","4,778,401.00 ","3,059,894.00 ","3,195,458.00 ","3,727,235.00 ","3,570,582.00 ","3,778,734.00 ","4,494,399.00 ","3,703,372.00 ","1,529,000.00 "
China: Shaanxi: Revenue of Local Government Funds: Total,CNY 10k,M0065703,Shaanxi Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,600,395.00 ","8,757,522.00 ","10,112,136.00 ","8,028,024.00 ","7,505,999.00 ","10,184,074.00 ","14,647,322.00 ","18,599,018.00 ","21,047,433.00 ","23,817,119.00 ","19,556,434.00 "
China: Qinghai: Revenue of Local Government Funds: Total,CNY 10k,M0065711,Qinghai Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"778,567.00 ","938,662.00 ","1,127,409.00 ","793,336.00 ","696,863.00 ","835,015.00 ","1,368,528.00 ","2,451,658.00 ","1,759,939.00 ","1,910,349.00 ","3,208,000.00 "
China: Guangxi: Revenue of Local Government Funds: Total,CNY 10k,M0065665,Guangxi Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"6,686,791.00 ","8,876,508.00 ","10,204,864.00 ","6,960,400.00 ","8,047,358.00 ","9,666,654.00 ","14,360,589.00 ","16,992,947.00 ","19,389,710.00 ","17,291,502.00 ","11,112,700.00 "
China: Hubei: Revenue of Local Government Funds: Total,CNY 10k,M0065642,Hubei Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,"4,831,000.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"24,343,513.00 ","35,351,312.00 ","34,749,051.00 ","32,292,805.00 ","39,129,000.00 ",0.00 
China: Fujian: Revenue of Government Funds: Total,CNY 10k,M0065593,Fujian Provincial Bureau of Statistics,"1,833,400.00 ","6,909,200.00 ","5,626,800.00 ","6,806,300.00 ","14,782,000.00 ","17,533,400.00 ","17,814,400.00 ","21,329,400.00 ","22,856,400.00 ","13,045,600.00 ",0.00 ,0.00 ,"25,870,968.00 ","25,696,758.00 ","34,297,096.00 ",0.00 ,0.00 
China: Chongqing: Revenue of Local Government Funds: Total,CNY 10k,M0065678,Chongqing Municipal Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"14,344,551.00 ","16,698,000.00 ","12,846,233.00 ","16,642,000.00 ","14,973,000.00 ","22,510,000.00 ","23,162,545.00 ","22,479,327.00 ","24,580,000.00 ","23,579,400.00 ","17,539,494.00 "
China: Hainan: Revenue of Local Government Funds: Total,CNY 10k,M0159902,Hainan Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,048,255.00 ","4,398,854.00 ","3,676,092.00 ","3,215,460.00 ","3,800,245.00 ","3,974,595.00 ","3,819,817.00 ","4,558,112.00 ","5,225,508.00 ","3,941,096.00 ","4,688,613.00 "
China: Jiangxi: Revenue of Local Government Funds: Total,CNY 10k,M0065600,Jiangxi Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"14,392,000.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"25,687,401.00 ","25,374,300.73 ","31,015,000.00 ","29,718,000.00 ","22,520,000.00 "
China: Jilin: Revenue of Local Government Funds: Total,CNY 10k,M0065559,Jilin Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,167,000.00 ","6,368,800.00 ","6,086,600.00 ","3,671,500.00 ","3,927,500.00 ","5,135,300.00 ","5,583,200.00 ","6,652,500.00 ","10,212,000.00 ","9,384,000.00 ","3,657,000.00 "
China: Xinjiang: Revenue of Local Government Funds: Total,CNY 10k,M0065717,Xinjiang Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,263,200.00 ","4,261,321.00 ","2,460,600.00 ","3,342,160.00 ","4,409,076.00 ","6,143,013.00 ","5,274,937.00 ","5,761,860.00 ","6,061,200.00 ","5,289,000.00 "
