Province,Region,Longitude,Latitude,Post Code
Beijing,NA,116.4,39.9,100000
Beijing,Dongcheng,116.42,39.93,100010
Beijing,Xicheng,116.37,39.92,100032
Beijing,Chongwen,116.43,39.88,100000
Beijing,Xuanwu,116.35,39.87,100000
Beijing,Chaoyang,116.43,39.92,100020
Beijing,Fengtai,116.28,39.85,100071
Beijing,Shijingshan,116.22,39.9,100043
Beijing,Haidian,116.3,39.95,100089
Beijing,Mentougou,116.1,39.93,102300
Beijing,Fangshan,116.13,39.75,102488
Beijing,Tongzhou,116.65,39.92,101149
Beijing,Shunyi,116.65,40.13,101300
Beijing,Changping,116.23,40.22,102200
Beijing,Daxing,116.33,39.73,102600
Beijing,Huairou,116.63,40.32,101400
Beijing,Pinggu,117.12,40.13,101200
Beijing,Miyun,116.83,40.37,101500
Beijing,Yanqing,115.97,40.45,102100
Tianjin,NA,117.2,39.12,300000
Tianjin,Heping,117.2,39.12,300041
Tianjin,Hedong,117.22,39.12,300171
Tianjin,Hexi,117.22,39.12,300202
Tianjin,Nankai,117.15,39.13,300110
Tianjin,Hebei,117.18,39.15,300143
Tianjin,Hongqiao,117.15,39.17,300131
Tianjin,Tanggu,117.65,39.02,300450
Tianjin,Hangu,117.8,39.25,300480
Tianjin,Dagang,117.45,38.83,300000
Tianjin,Dongli,117.3,39.08,300300
Tianjin,Xiqing,117,39.13,300380
Tianjin,Jinnan,117.38,38.98,300350
Tianjin,Beichen,117.13,39.22,300400
Tianjin,Wuqing,117.03,39.38,301700
Tianjin,Baoyu,117.3,39.72,301800
Tianjin,Binhai,117.68,39.03,300450
Tianjin,Ninghe,117.82,39.33,301500
Tianjin,Jinghai,116.92,38.93,301600
Tianjin,Jixian,117.4,40.05,301900
Hebei,Shijiazhuang,114.52,38.05,50000
Hebei,Chang'an,114.52,38.05,50000
Hebei,Bridge East,114.5,38.05,50000
Hebei,Bridge East,114.9,40.78,50000
Hebei,Bridge East,114.5,37.07,50000
Hebei,Qiaoxi,114.47,37.05,50051
Hebei,Qiaoxi,114.87,40.83,50051
Hebei,Qiaoxi,114.47,38.03,50051
Hebei,Xinhua,114.47,38.05,453000
Hebei,Xinhua,116.87,38.32,453000
Hebei,Jingyu Mining,114.05,38.08,50100
Hebei,Yuhua,114.52,38.02,50011
Hebei,Jingyi,114.13,38.03,50300
Hebei,Zhengding,114.57,38.15,50800
Hebei,Luancheng,114.65,37.88,51430
Hebei,Xingtang,114.55,38.43,50600
Hebei,Lingshou,114.37,38.3,50500
Hebei,Gaoyi,114.6,37.6,51330
Hebei,Shenze,115.2,38.18,52560
Hebei,Zanhuang,114.38,37.67,51230
