Province,Country,Region,Frequency,Unit,Source,Status,Series ID,SR Code,Trade Code,Mnemonic,Function Description,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CN: GDP: Prefecture Level City,China,,"Annual, ending ""Dec"" of each year",RMB bn,National Bureau of Statistics,Active,146381801 (CAAHCA),SR1927317,,,,1991,2015,17/04/2017,,,33042.085,486408698.304,22054.675,0.547,-1.184,0.667,8176.774,71746.936,27086.484,17,8176.774,9409.291,10392.586,11683.020,13594.310,16335.067,19431.301,22611.036,27086.484,32339.248,36114.870,43068.921,51512.748,57404.946,62971.537,67836.364,71746.936,,,,,,,
CN: GDP: Beijing,China,Beijing,"Annual, ending ""Dec"" of each year",RMB bn,Beijing Municipal Bureau of Statistics,Active,146381901 (CAAHCB),SR1927373,,,,1952,2022,19/01/2023,,,1833.071,1600681.849,1265.181,0.452,-1.113,0.690,275.980,4161.090,1607.640,24,275.980,327.780,386.150,452.570,526.720,625.250,714.980,838.700,1042.550,1181.310,1290.090,1496.400,1718.880,1902.470,2113.460,2292.600,2477.910,2704.120,2988.300,3310.600,3544.510,3594.330,4026.960,4161.090
CN: GDP: Tianjin,China,Tianjin,"Annual, ending ""Dec"" of each year",RMB bn,Tianjin Municipal Bureau of Statistics,Active,146382001 (CAAHCC),SR1926758,,,,1949,2022,20/01/2023,,,775.623,250008.200,500.008,0.217,-1.413,0.645,143.564,1631.134,747.164,24,143.564,159.167,175.689,192.687,225.777,262.110,315.860,353.818,415.841,518.243,570.957,683.076,811.251,904.302,994.544,1064.062,1087.951,1147.720,1245.056,1336.292,1405.546,1400.799,1569.505,1631.134
CN: GDP: Hebei: Shijiazhuang,China,Shijiazhuang,"Annual, ending ""Dec"" of each year",RMB bn,Shijiazhuang Municipal Bureau of Statistics,Active,146382101 (CAAHCD),SR1928742,,,,1991,2022,06/02/2023,,,370.078,43573.863,208.744,0.020,-1.590,0.564,90.837,710.060,374.185,24,90.837,96.252,105.558,116.465,132.451,151.115,167.150,190.252,226.884,272.355,300.128,340.102,408.268,450.021,491.366,517.027,544.060,592.773,617.703,537.510,580.994,593.510,649.030,710.060
CN: GDP: Hebei: Tangshan,China,Tangshan,"Annual, ending ""Dec"" of each year",RMB bn,Tangshan Municipal Bureau of Statistics,Active,146382201 (CAAHCE),SR1928641,,,,1991,2022,06/02/2023,,,431.500,62805.319,250.610,0.026,-1.232,0.581,83.256,890.070,479.348,24,83.256,91.505,100.646,110.229,129.532,162.633,202.764,233.553,277.942,353.747,381.272,446.916,544.245,586.164,612.121,622.530,511.779,560.246,591.695,630.003,688.999,721.090,823.060,890.070
CN: GDP: Hebei: Qinhuangdao,China,Qinhuangdao,"Annual, ending ""Dec"" of each year",RMB bn,Qinhuangdao Municipal Bureau of Statistics,Active,146382301 (CAAHCF),SR1928786,,,,1949,2022,06/02/2023,,,93.600,2915.606,53.996,0.264,-1.140,0.577,22.300,190.950,94.516,24,22.300,23.160,26.957,29.707,34.189,40.580,43.287,51.006,61.826,72.604,76.773,87.808,101.225,108.314,111.576,114.638,119.260,125.296,140.060,150.733,161.203,168.580,184.380,190.950
CN: GDP: Hebei: Handan,China,Handan,"Annual, ending ""Dec"" of each year",RMB bn,Handan Municipal Bureau of Statistics,Active,146382401 (CAAHCG),SR1928693,,,,1991,2022,06/02/2023,,,230.030,15745.305,125.480,-0.128,-1.438,0.545,49.700,434.630,257.529,24,49.700,54.235,59.168,65.317,76.256,93.649,109.851,135.480,160.813,190.636,201.528,236.156,278.903,302.429,306.150,308.001,314.543,336.111,337.953,345.460,348.605,363.660,411.480,434.630
CN: GDP: Hebei: Xingtai,China,Xingtai,"Annual, ending ""Dec"" of each year",RMB bn,Xingtai Municipal Bureau of Statistics,Active,146382501 (CAAHCH),SR1928885,,,,1991,2022,06/02/2023,,,132.381,5216.062,72.222,0.134,-1.395,0.546,33.933,254.690,132.051,24,33.933,37.038,40.634,43.941,51.461,63.558,67.104,77.694,89.075,97.001,105.629,121.209,142.892,153.206,160.458,164.694,176.473,197.575,209.062,215.076,211.996,220.040,242.710,254.690
CN: GDP: Hebei: Baoding,China,Baoding,"Annual, ending ""Dec"" of each year",RMB bn,Baoding Municipal Bureau of Statistics,Active,146382601 (CAAHCI),SR1927601,,,,1991,2022,06/02/2023,,,223.796,14392.209,119.968,0.040,-1.690,0.536,63.657,395.430,225.010,24,63.657,70.222,74.731,82.346,92.481,111.088,104.057,115.392,133.673,152.582,173.000,205.030,244.990,272.090,290.638,303.520,330.056,347.713,344.974,325.690,377.220,395.430,372.500,388.030
CN: GDP: Hebei: Zhangjiakou,China,Zhangjiakou,"Annual, ending ""Dec"" of each year",RMB bn,Zhangjiakou Municipal Bureau of Statistics,Active,146382701 (CAAHCJ),SR1928243,,,,1991,2022,06/02/2023,,,96.784,2951.715,54.330,-0.073,-1.621,0.561,22.951,177.530,104.251,24,22.951,24.393,25.802,27.837,31.994,40.011,42.581,50.144,59.223,74.652,80.034,96.642,111.861,123.355,131.702,134.897,136.354,146.599,142.702,153.660,155.106,160.010,172.780,177.530
CN: GDP: Hebei: Chengde,China,Chengde,"Annual, ending ""Dec"" of each year",RMB bn,Chengde Municipal Bureau of Statistics,Active,146382801 (CAAHCK),SR1926831,,,,1991,2022,06/02/2023,,,92.193,3189.540,56.476,-0.099,-1.609,0.613,15.853,178.020,99.658,24,15.853,16.303,18.241,20.001,23.498,30.062,35.320,42.750,56.981,74.368,76.011,88.896,110.420,118.192,127.209,134.255,135.873,143.857,146.545,148.150,147.100,155.030,169.700,178.020
CN: GDP: Hebei: Cangzhou,China,Cangzhou,"Annual, ending ""Dec"" of each year",RMB bn,Cangzhou Municipal Bureau of Statistics,Active,146382901 (CAAHCL),SR1927843,,,,1991,2022,06/02/2023,,,225.623,18250.806,135.096,-0.036,-1.563,0.599,42.253,438.820,239.416,24,42.253,46.134,48.721,53.133,62.886,77.412,105.551,120.893,138.672,162.016,180.123,220.312,258.520,281.242,301.299,313.338,332.063,354.468,364.340,367.640,358.796,369.987,416.340,438.820
CN: GDP: Hebei: Langfang,China,Langfang,"Annual, ending ""Dec"" of each year",RMB bn,Langfang Municipal Bureau of Statistics,Active,146383001 (CAAHCM),SR1928550,,,,1991,2022,06/02/2023,,,170.006,13087.027,114.399,0.356,-1.424,0.673,33.247,356.530,148.126,24,33.247,36.882,41.344,45.998,52.855,60.480,60.957,71.598,88.393,106.149,114.748,135.110,161.142,179.433,194.313,217.596,247.386,272.046,288.101,310.820,319.602,330.110,355.310,356.530
CN: GDP: Hebei: Hengshui,China,Hengshui,"Annual, ending ""Dec"" of each year",RMB bn,Hengshui Municipal Bureau of Statistics,Active,146383101 (CAAHCN),SR1928065,,,,1991,2022,06/02/2023,,,95.028,2533.106,50.330,0.236,-1.447,0.530,27.921,180.050,92.907,23,27.921,29.856,,34.892,39.676,47.380,51.094,52.421,53.609,60.381,65.211,78.182,92.907,101.103,107.023,114.913,122.001,142.018,152.319,155.870,150.493,156.020,170.310,180.050
CN: GDP: Shanxi: Taiyuan,China,Taiyuan,"Annual, ending ""Dec"" of each year",RMB bn,Taiyuan Municipal Bureau of Statistics,Active,146383201 (CAAHCO),SR1928032,,,,1991,2022,01/02/2023,,,219.778,23663.241,153.829,0.651,-0.465,0.700,33.268,557.117,196.060,24,33.268,39.907,45.474,50.731,61.931,77.166,91.006,105.461,130.979,154.809,156.591,180.651,211.469,236.630,250.208,257.212,278.008,300.294,338.218,388.448,401.619,415.325,512.161,557.117
