Region,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Province
Anhui,29.5351,74.45898421993094,NA,489.353369234094,1330.41,1437.1,42.8345,Anhui
Lu'an,47.62,95.62422133738404,286.47,575.2260055603169,95.463,100.6,30.52,Anhui
Fuyang,42.829,95.64712803311475,749.33,1675.275509585428,138.47899999999998,148.56400000000002,29.6594,Anhui
Bozhou,39.91,110.75743858636687,566.14,1571.191344888933,83.86851,90.33998,38.4863,Anhui
Huangshan,36.64,46.310283948777816,246.15,295.4602011576066,36.727290000000004,38.4119,40.9296,Anhui
Suzhou,34.8136,83.61670977393688,249.63,599.773433169214,77.44624999999999,82.93174,31.0929,Anhui
tongling,31.93,84.07449871134803,372.18,979.9781887366088,38.63229,44.10146,51.9,Anhui
Xuancheng,31.4391,100.32300369828144,185.25,591.130681071068,60.187,63.549,54.5586,Anhui
Bengbu,30.9231,93.65622953777766,248,751.1191424022813,62.22648,66.27243,48.404,Anhui
Chuzhou,29.3102,68.1940602476676,225.78,525.6898515782193,105.81,111.67,54.7215,Anhui
Chizhou,29.2,44.496796650653685,284.9,432.4491938760283,31.49,34.172000000000004,41.7328,Anhui
Anqing,28.12,92.84611813832902,445,820.3956516701787,77.83500000000001,83.26599999999999,34.1468,Anhui
Huainan,27.3,73.10522915329311,349.69,936.4347822137812,42.07,48.24,40.17,Anhui
Ma'anshan,26.55,88.4579922118796,326.65,1088.8625978831055,66.92999999999999,69.12,64.9231,Anhui
Wuhu,22.13,40.51203098168422,165.67,303.3268419151338,99.62,102.81199999999998,66.68,Anhui
Huaibei,19.73,87.00307067002609,265.77,1172.1571920259564,25.7,27.458,47.1707,Anhui
Hefei,15.83,52.056500712428935,90.32,297.0407774229231,190.174,219.406,65.6318,Anhui
Beijing,25.3908,44.75843864339872,116.2055,204.8452043781624,1056.533,1220.24,76.5061,Beijing
Huairou ,82.55,101.89903190029052,485.14,598.894362692146,36.942,37.019,34.03,Beijing
Mentougou ,74.35,74.34766629915472,142.15,142.15445154943433,20.23,22.489,32.29,Beijing
Changping ,63.88,89.43629138897693,310.35,434.5137110608789,83.041,83.08500000000001,50.35,Beijing
Fengtai ,63.16,65.16580097257736,323.38,333.6615884703984,130.219,133.933,58.32,Beijing
Fangshan ,61.85,61.85155070275293,336.33,336.3314805457302,53.248000000000005,57.928,38.47,Beijing
Miyun ,57.49,57.4850136239782,304.41,304.3860914730919,21.097,22.208,28.83,Beijing
Shunyi ,38.13,51.71311260269149,250.01,339.0412530766555,79.06,80.465,52.39,Beijing
Pinggu ,34.85,47.86671666243269,368.11,505.5140973964849,14.241,14.32,21.63,Beijing
Shijingshan ,20.51,20.51020408163265,124.89,124.89126382502796,20.1,24.547,60.49,Beijing
Chaoyang ,11.52,17.481530562958845,108.12,164.08015920377753,91.134,115.358,89.45,Beijing
Haidian ,6.83,30.747914431311173,115.08,517.8294385284704,69.747,73.539,81.96,Beijing
Xicheng ,1.35,42.13396969487026,18.48,577.4653538295985,7.684,7.817,95.61,Beijing
Daxing ,NA,NA,517.1,964.7618383844854,116.258,127.16400000000002,NA,Beijing
Tongzhou ,NA,NA,332.67,874.1135599920132,57.065,65.074,29.2,Beijing
Dongcheng ,NA,NA,73.08,73.07732172470978,14.101,14.665,77.34,Beijing
Yanqing ,NA,NA,761.02,843.9788111766159,18.488,19.156,19.88,Beijing
Chongqing,34.5738,105.02926334870956,NA,773.2247446436644,1007.1,1028.1,42.9894,Chongqing
Chengkou,147.8,158.28273156175538,1060.02,1134.6732897145946,9.8,9.8,16.88,Chongqing
