Carbon Emissions,Statistical_Division_Code,Province.Code,Region,year,Province.x,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance (Special Bond)(CNY,B)","Net Financing (Special Bond)(CNY,B)",Annual_Real_Estate_Investment,Annual_Avg_Property_Price,Province.y,Longitude,Latitude,Post Code
89.98180725,110100,110000,Beijing,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85.56048441,110100,110000,Beijing,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88.4090731,110100,110000,Beijing,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88.15542679,110100,110000,Beijing,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148.9459324,120100,120000,Tianjin,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143.991043,120100,120000,Tianjin,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154.3368032,120100,120000,Tianjin,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158.4665347,120100,120000,Tianjin,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107.9262222,130100,130000,Shijiazhuang,2016,Hebei,12.29,44.46406231,94.37,341.2857078,72.88,NA,55.048,592.77293,6.8,54526,101.5765,11.61,30459.26,219.03,41.07238,74.61188,28.93655,70.45257665,36.07252,40.9848,NA,NA,6.369988,NA,NA,NA,13.3415,8.05458,7100.46,103630.96,Hebei,114.52,38.05,50000
129.6282881,130100,130000,Shijiazhuang,2017,Hebei,14.6656,43.90778636,96.71,289.5429797,94.753,108.748,57.1306,646.09,7.3,54857,121.2272,12.72927,32929,235.58,46.08886,80.67284,31.0313,67.32928521,51.79879,56.4444,NA,NA,4.3371885,NA,NA,NA,10.5471,10.249,9361.894,124363.3,Hebei,114.52,38.05,50000
