Province,Region,Statistical_Division_Code,Province.Code
Beijing,NA,      110000,110000
Beijing,Dongcheng,110101,110000
Beijing,Xicheng,110102,110000
Beijing,Chaoyang,110105,110000
Beijing,Fengtai,110106,110000
Beijing,Shijingshan,110107,110000
Beijing,Haidian,110108,110000
Beijing,Mentougou,110109,110000
Beijing,Fangshan,110111,110000
Beijing,Tongzhou,110112,110000
Beijing,Shunyi,110113,110000
Beijing,Changping,110114,110000
Beijing,Daxing,110115,110000
Beijing,Huairou,110116,110000
Beijing,Pinggu,110117,110000
Beijing,Miyun,110118,110000
Beijing,Yanqing,110119,110000
Tianjin,NA,      120000,120000
Tianjin,Heping,120101,120000
Tianjin,East,120102,120000
Tianjin,Hexi,120103,120000
Tianjin,Nankai,120104,120000
Tianjin,Hebei,120105,120000
Tianjin,Hongqiao,120106,120000
Tianjin,Dongli,120110,120000
Tianjin,Xiqing,120111,120000
Tianjin,Jinnan,120112,120000
Tianjin,Beichen,120113,120000
Tianjin,Wuqing,120114,120000
Tianjin,Baodi,120115,120000
Tianjin,Binhai,120116,120000
Tianjin,Ninghe,120117,120000
Tianjin,Jinghai,120118,120000
Tianjin,Jizhou,120119,120000
Hebei,NA,      130000,130000
Hebei,Shijiazhuang,130100,130000
Hebei,Tangshan,130200,130000
Hebei,Qinhuangdao,130300,130000
Hebei,Handan,130400,130000
Hebei,Xingtai,130500,130000
Hebei,Baoding,130600,130000
Hebei,Zhangjiakou,130700,130000
Hebei,Chengde,130800,130000
Hebei,Cangzhou,130900,130000
Hebei,Langfang,131000,130000
Hebei,Hengshui,131100,130000
Shanxi,NA,      140000,140000
Shanxi,Taiyuan,140100,140000
Shanxi,Datong,140200,140000
Shanxi,Yangquan,140300,140000
Shanxi,Changzhi,140400,140000
Shanxi,Jincheng,140500,140000
Shanxi,Shuozhou,140600,140000
Shanxi,Jinzhong,140700,140000
Shanxi,Yuncheng,140800,140000
Shanxi,Xinzhou,140900,140000
Shanxi,Linfen,141000,140000
Shanxi,Luliang,141100,140000
Inner Mongolia,NA,      150000,150000
Inner Mongolia,Hohhot,150100,150000
Inner Mongolia,Baotou,150200,150000
Inner Mongolia,Wuhai,150300,150000
Inner Mongolia,Chifeng,150400,150000
Inner Mongolia,Tongliao,150500,150000
Inner Mongolia,Ordos,150600,150000
Inner Mongolia,Hulun Beir,150700,150000
Inner Mongolia,Bayannur,150800,150000
Inner Mongolia,Wulanchabu,150900,150000
Inner Mongolia,Xing'an,152200,150000
Inner Mongolia,Xilin Gol,152500,150000
Inner Mongolia,Alxa,152900,150000
Liaoning,NA,      210000,210000
Liaoning,Shenyang,210100,210000
Liaoning,Dalian,210200,210000
Liaoning,Anshan,210300,210000
Liaoning,Fushun,210400,210000
Liaoning,Benxi,210500,210000
Liaoning,Dandong,210600,210000
Liaoning,Jinzhou,210700,210000
Liaoning,Yingkou,210800,210000
Liaoning,Fuxin,210900,210000
Liaoning,Liaoyang,211000,210000
Liaoning,Panjin,211100,210000
Liaoning,Tieling,211200,210000
Liaoning,Chaoyang,211300,210000
Liaoning,Huludao,211400,210000
Jilin,NA,      220000,220000
Jilin,Changchun,220100,220000
Jilin,Jilin,220200,220000
Jilin,Siping,220300,220000
Jilin,Liaoyuan,220400,220000
Jilin,Tonghua,220500,220000
Jilin,Baishan,220600,220000
Jilin,Songyuan,220700,220000
Jilin,Baicheng,220800,220000
Jilin,Yanbian,222400,220000
Heilongjiang,NA,      230000,230000
Heilongjiang,Harbin,230100,230000
Heilongjiang,Qiqihar,230200,230000
Heilongjiang,Jixi,230300,230000
Heilongjiang,Hegang,230400,230000
Heilongjiang,Shuangyashan,230500,230000
Heilongjiang,Daqing,230600,230000
Heilongjiang,Yichun,230700,230000
Heilongjiang,Jiamusi,230800,230000
Heilongjiang,Qitaihe,230900,230000
Heilongjiang,Mudanjiang,231000,230000
Heilongjiang,Heihe,231100,230000
Heilongjiang,Suihua,231200,230000
Heilongjiang,Greater Khingan Mountains,232700,230000
Shanghai,NA,      310000,310000
Shanghai,Huangpu,310101,310000
Shanghai,Xuhui,310104,310000
Shanghai,Changning,310105,310000
Shanghai,Jing'an,310106,310000
Shanghai,Putuo,310107,310000
Shanghai,Hongkou,310109,310000
Shanghai,Yangpu,310110,310000
Shanghai,Minhang,310112,310000
Shanghai,Baoshan,310113,310000
Shanghai,Jiading,310114,310000
Shanghai,Pudong,310115,310000
Shanghai,Jinshan,310116,310000
Shanghai,Songjiang,310117,310000
Shanghai,Qingpu,310118,310000
Shanghai,Fengxian,310120,310000
Shanghai,Chongming,310151,310000
Jiangsu,NA,      320000,320000
Jiangsu,Nanjing,320100,320000
Jiangsu,Wuxi,320200,320000
Jiangsu,Xuzhou,320300,320000
Jiangsu,Changzhou,320400,320000
Jiangsu,Suzhou,320500,320000
Jiangsu,Nantong,320600,320000
Jiangsu,Lianyungang,320700,320000
Jiangsu,Huai'an,320800,320000
Jiangsu,Yancheng,320900,320000
Jiangsu,Yangzhou,321000,320000
Jiangsu,Zhenjiang,321100,320000
Jiangsu,Taizhou,321200,320000
Jiangsu,Suqian,321300,320000
Zhejiang,NA,      330000,330000
Zhejiang,Hangzhou,330100,330000
Zhejiang,Ningbo,330200,330000
Zhejiang,Wenzhou,330300,330000
Zhejiang,Jiaxing,330400,330000
Zhejiang,Huzhou,330500,330000
Zhejiang,Shaoxing,330600,330000
Zhejiang,Jinhua,330700,330000
Zhejiang,Quzhou,330800,330000
Zhejiang,Zhoushan,330900,330000
Zhejiang,Taizhou,331000,330000
Zhejiang,Lishui,331100,330000
Anhui,NA,      340000,340000
Anhui,Hefei,340100,340000
Anhui,Wuhu,340200,340000
Anhui,Bengbu,340300,340000
Anhui,Huainan,340400,340000
Anhui,Ma'anshan,340500,340000
Anhui,Huaibei,340600,340000
Anhui,Tongling,340700,340000
Anhui,Anqing,340800,340000
Anhui,Huangshan,341000,340000
Anhui,Chuzhou,341100,340000
Anhui,Fuyang,341200,340000
Anhui,Suzhou,341300,340000
Anhui,Lu'an,341500,340000
Anhui,Bozhou,341600,340000
Anhui,Chizhou,341700,340000
Anhui,Xuancheng,341800,340000
Fujian,NA,      350000,350000
Fujian,Fuzhou,350100,350000
Fujian,Xiamen,350200,350000
Fujian,Putian,350300,350000
Fujian,Sanming,350400,350000
Fujian,Quanzhou,350500,350000
Fujian,Zhangzhou,350600,350000
Fujian,Nanping,350700,350000
Fujian,Longyan,350800,350000
Fujian,Ningde,350900,350000
Jiangxi,NA,      360000,360000
Jiangxi,Nanchang,360100,360000
Jiangxi,Jingdezhen,360200,360000
Jiangxi,Pingxiang,360300,360000
Jiangxi,Jiujiang,360400,360000
Jiangxi,Xinyu,360500,360000
Jiangxi,Yingtan,360600,360000
Jiangxi,Ganzhou,360700,360000
Jiangxi,Ji'an,360800,360000
Jiangxi,Yichun,360900,360000
Jiangxi,Fuzhou,361000,360000
Jiangxi,Shangrao,361100,360000
Shandong,NA,      370000,370000
Shandong,Ji'nan,370100,370000
Shandong,Qingdao,370200,370000
Shandong,Zibo,370300,370000
Shandong,Zaozhuang,370400,370000
Shandong,Dongying,370500,370000
Shandong,Yantai,370600,370000
Shandong,Weifang,370700,370000
Shandong,Jining,370800,370000
Shandong,Tai'an,370900,370000
Shandong,Weihai,371000,370000
Shandong,Rizhao,371100,370000
Shandong,Linyi,371300,370000
Shandong,Dezhou,371400,370000
Shandong,Liaocheng,371500,370000
Shandong,Binzhou,371600,370000
Shandong,Heze,371700,370000
Henan,NA,      410000,410000
Henan,Zhengzhou,410100,410000
Henan,Kaifeng,410200,410000
Henan,Luoyang,410300,410000
Henan,Pingdingshan,410400,410000
Henan,Anyang,410500,410000
Henan,Hebi,410600,410000
Henan,Xinxiang,410700,410000
Henan,Jiaozuo,410800,410000
Henan,Puyang,410900,410000
Henan,Xuchang,411000,410000
Henan,Luohe,411100,410000
Henan,Sanmenxia,411200,410000
Henan,Nanyang,411300,410000
Henan,Shangqiu,411400,410000
Henan,Xinyang,411500,410000
Henan,Zhoukou,411600,410000
Henan,Zhumadian,411700,410000
Henan,Provincial-level administrative divisions,419000,410000
Hubei,NA,      420000,420000
Hubei,Wuhan,420100,420000
Hubei,Huangshi,420200,420000
Hubei,Shiyan,420300,420000
Hubei,Yichang,420500,420000
Hubei,Xiangyang,420600,420000
Hubei,Ezhou,420700,420000
Hubei,Jingmen,420800,420000
Hubei,Xiaogan,420900,420000
Hubei,Jingzhou,421000,420000
Hubei,Huanggang,421100,420000
Hubei,Xianning,421200,420000
Hubei,Suizhou,421300,420000
Hubei,Enshi,422800,420000
Hubei,Provincial-level administrative divisions,429000,420000
Hunan,NA,      430000,430000
Hunan,Changsha,430100,430000
Hunan,Zhuzhou,430200,430000
Hunan,Xiangtan,430300,430000
Hunan,Hengyang,430400,430000
Hunan,Shaoyang,430500,430000
Hunan,Yueyang,430600,430000
Hunan,Changde,430700,430000
Hunan,Zhangjiajie,430800,430000
Hunan,Yiyang,430900,430000
Hunan,Chenzhou,431000,430000
Hunan,Yongzhou,431100,430000
Hunan,Huaihua,431200,430000
Hunan,Loudi,431300,430000
Hunan,Xiangxi,433100,430000
Guangdong,NA,      440000,440000
Guangdong,Guangzhou,440100,440000
Guangdong,Shaoguan,440200,440000
Guangdong,Shenzhen,440300,440000
Guangdong,Zhuhai,440400,440000
Guangdong,Shan Tou,440500,440000
Guangdong,Foshan,440600,440000
Guangdong,Jiangmen,440700,440000
Guangdong,Zhangjiang,440800,440000
Guangdong,Maoming,440900,440000
Guangdong,Zhaoqing,441200,440000
Guangdong,Huizhou,441300,440000
Guangdong,Meizhou,441400,440000
Guangdong,Shanwei,441500,440000
Guangdong,Heyuan,441600,440000
Guangdong,Yangjiang,441700,440000
Guangdong,Qingyuan,441800,440000
Guangdong,Dongguan,441900,440000
Guangdong,Zhongshan,442000,440000
Guangdong,Chaozhou,445100,440000
Guangdong,Jieyang,445200,440000
Guangdong,Yunfu,445300,440000
Guangxi,NA,      450000,450000
Guangxi,Nanning,450100,450000
Guangxi,Liuzhou,450200,450000
Guangxi,Guilin,450300,450000
Guangxi,Wuzhou,450400,450000
Guangxi,Beihai,450500,450000
Guangxi,Fangchenggang,450600,450000
Guangxi,Qinzhou,450700,450000
Guangxi,Guigang,450800,450000
