Region,Province.Code,Carbon Emissions,year,Province,Statistical_Division_Code,Latitude,Longitude
Ankang,610000,NA,1997,Shaanxi,610900,32.68,109.02
Ankang,610000,5.011514283,2011,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,1995,Shaanxi,610900,32.68,109.02
Ankang,610000,5.90150648,2018,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,1998,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,1999,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2017,Shaanxi,610900,32.68,109.02
Ankang,610000,5.655353339,2010,Shaanxi,610900,32.68,109.02
Ankang,610000,5.578357917,2019,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2006,Shaanxi,610900,32.68,109.02
Ankang,610000,4.869802337,2016,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2000,Shaanxi,610900,32.68,109.02
Ankang,610000,4.532366991,2009,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2005,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2001,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2003,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2004,Shaanxi,610900,32.68,109.02
Ankang,610000,5.348094502,2012,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2007,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2008,Shaanxi,610900,32.68,109.02
Ankang,610000,NA,2002,Shaanxi,610900,32.68,109.02
Ankang,610000,4.603765305,2015,Shaanxi,610900,32.68,109.02
Ankang,610000,5.035934224,2013,Shaanxi,610900,32.68,109.02
Ankang,610000,4.815123879,2014,Shaanxi,610900,32.68,109.02
Anqing,340000,6.270876475,2002,Anhui,340800,30.53,117.05
Anqing,340000,33.70059056,2017,Anhui,340800,30.53,117.05
Anqing,340000,4.964461156,2000,Anhui,340800,30.53,117.05
Anqing,340000,30.85658395,2018,Anhui,340800,30.53,117.05
Anqing,340000,11.75636607,2005,Anhui,340800,30.53,117.05
Anqing,340000,NA,1999,Anhui,340800,30.53,117.05
Anqing,340000,22.57917031,2015,Anhui,340800,30.53,117.05
Anqing,340000,20.47543179,2011,Anhui,340800,30.53,117.05
Anqing,340000,NA,1998,Anhui,340800,30.53,117.05
Anqing,340000,NA,1995,Anhui,340800,30.53,117.05
Anqing,340000,30.42722139,2019,Anhui,340800,30.53,117.05
Anqing,340000,7.700936052,2003,Anhui,340800,30.53,117.05
Anqing,340000,28.7068552,2016,Anhui,340800,30.53,117.05
Anqing,340000,21.56914162,2012,Anhui,340800,30.53,117.05
Anqing,340000,22.12271223,2014,Anhui,340800,30.53,117.05
Anqing,340000,17.26491207,2010,Anhui,340800,30.53,117.05
Anqing,340000,15.97483043,2008,Anhui,340800,30.53,117.05
Anqing,340000,9.42353917,2004,Anhui,340800,30.53,117.05
Anqing,340000,20.39128506,2013,Anhui,340800,30.53,117.05
Anqing,340000,4.848285627,2001,Anhui,340800,30.53,117.05
Anqing,340000,NA,1997,Anhui,340800,30.53,117.05
Anqing,340000,16.00361279,2009,Anhui,340800,30.53,117.05
Anqing,340000,14.41591801,2007,Anhui,340800,30.53,117.05
Anqing,340000,12.50636515,2006,Anhui,340800,30.53,117.05
Anshan,210000,NA,2000,Liaoning,210300,41.1,122.98
