Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Ankang,Shaanxi,2016,18.5428,30.32195479,306.26,498.7726958,15.629,16.65,12.1496,84.286,11.3,31770,9.51187,0.031,25962,36.052,3.01067,24.78005,1.73479,57.62139324,2.08834,2.30767,NA,NA,0.7850011,NA,6.104,NA,1.883,0.882,610900,610000,3246.8,9511.87
Ankang,Shaanxi,2017,20.519,31.58886329,386.91,595.6424624,19.999,20.82,10.2098,97.466,10.5,36662,9.38749,0.30473,28158,NA,2.8021,27.44518,1.86985,66.73030941,2.35465,2.55887,NA,NA,0.015,NA,3.875,2.486,1.57026,0.09,610900,610000,3713.945,9387.49
Ankang,Shaanxi,2018,19.6698,25.4959765,307.52,398.6063434,22.301,23.767,8.6047,113.377,10.2,42544,12.99244,0.071,24977,NA,2.75055,31.96579,2.24241,81.52587664,4.49433,4.48004,NA,NA,NA,NA,3.97084,1.85136,1.97984,0.997,610900,610000,4600.57,12992.44
Ankang,Shaanxi,2019,24.503,31.35959668,289.19,370.1085482,28.964,30.684,7.5115,118.206,7.9,44241,16.27662,0.128,27016,NA,2.76966,36.87237,2.30707,83.29794993,7.16549,8.25235,NA,NA,0.0786,NA,7.09011,5.12935,2.276,2.006,610900,610000,5314.999,16276.62
Ankang,Shaanxi,2020,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,610900,610000,5506.116,17508.42
Ankang,Shaanxi,2021,35.6283,44.09629336,463.02,573.6571483,43.092,45.827,9.3369,120.9488,7.5,48687,20.51688,0.093,30496,NA,3.24809,34.78761,2.44751,75.35228396,5.95879,8.70907,NA,NA,NA,NA,NA,NA,NA,NA,610900,610000,5351.016,20516.88
Anqing,Anhui,2016,20.5142,37.43145938,159.2,289.5400189,31.411,33.098,37.9635,153.118,8,33294,14.05467,1.75604,26502,NA,12.79945,33.71512,8.12724,63.49679088,6.93,8.04,NA,NA,1.2917035,NA,8.37013,1.62609,NA,NA,340800,340000,4551.682,14054.67
Anqing,Anhui,2017,21.0234,23.49699024,182.68,204.1714728,35.92544,37.11525,32.4444,170.883,8.2,36928,16.25193,1.3899,28675,NA,12.10184,37.30026,8.42035,69.5790888,7.49,8.71,NA,NA,0.46404,NA,2.72261,1.1307,2.88,2.58,340800,340000,5179.042,16251.93
Anqing,Anhui,2018,19.6818,39.4674963,121.23,243.103126,37.7416113,41.31746,31.6982,191.759,7.8,41088,18.81598,1.44729,31187,NA,13.31958,42.02,9.94212,74.64289415,17.73,16.96,NA,NA,0.0973202,NA,4.44939,0.23255,5.79671,3.29843,340800,340000,6214.258,18815.98
Anqing,Anhui,2019,20.322,36.59096035,138.62,249.5859969,48.377,52.333,29.5513,238.052,7,50574,22.847,1.65963,34041,NA,13.7,46.36,10.24233,74.76153285,21.2,27.36,NA,NA,0.212703,-0.057297,NA,NA,NA,NA,340800,340000,6579.396,22847
