Region,Province,year,GDP: Industry,GDP,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price,Longitude,Latitude,Post Code
Ankang,Shaanxi,2020,SI - Industry,34.249,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,610900,610000,5506.116,17508.42,109.02,32.68,725000
Ankang,Shaanxi,2017,SI - Industry,35.107,20.519,31.58886329,386.91,595.6424624,19.999,20.82,10.2098,97.466,10.5,36662,9.38749,0.30473,28158,NA,2.8021,27.44518,1.86985,66.73030941,2.35465,2.55887,NA,NA,0.015,NA,3.875,2.486,1.57026,0.09,610900,610000,3713.945,9387.49,109.02,32.68,725000
Ankang,Shaanxi,2018,Primary Industry,12.335,19.6698,25.4959765,307.52,398.6063434,22.301,23.767,8.6047,113.377,10.2,42544,12.99244,0.071,24977,NA,2.75055,31.96579,2.24241,81.52587664,4.49433,4.48004,NA,NA,NA,NA,3.97084,1.85136,1.97984,0.997,610900,610000,4600.57,12992.44,109.02,32.68,725000
Ankang,Shaanxi,2020,Secondary Industry,43.856,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,610900,610000,5506.116,17508.42,109.02,32.68,725000
Ankang,Shaanxi,2017,Primary Industry,12.517,20.519,31.58886329,386.91,595.6424624,19.999,20.82,10.2098,97.466,10.5,36662,9.38749,0.30473,28158,NA,2.8021,27.44518,1.86985,66.73030941,2.35465,2.55887,NA,NA,0.015,NA,3.875,2.486,1.57026,0.09,610900,610000,3713.945,9387.49,109.02,32.68,725000
Ankang,Shaanxi,2019,Tertiary Industry,49.244,24.503,31.35959668,289.19,370.1085482,28.964,30.684,7.5115,118.206,7.9,44241,16.27662,0.128,27016,NA,2.76966,36.87237,2.30707,83.29794993,7.16549,8.25235,NA,NA,0.0786,NA,7.09011,5.12935,2.276,2.006,610900,610000,5314.999,16276.62,109.02,32.68,725000
Ankang,Shaanxi,2020,NA,108.878,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,610900,610000,5506.116,17508.42,109.02,32.68,725000
Ankang,Shaanxi,2020,Primary Industry,15.72,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,610900,610000,5506.116,17508.42,109.02,32.68,725000
Ankang,Shaanxi,2020,Tertiary Industry,49.303,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,610900,610000,5506.116,17508.42,109.02,32.68,725000
Ankang,Shaanxi,2019,Primary Industry,13.752,24.503,31.35959668,289.19,370.1085482,28.964,30.684,7.5115,118.206,7.9,44241,16.27662,0.128,27016,NA,2.76966,36.87237,2.30707,83.29794993,7.16549,8.25235,NA,NA,0.0786,NA,7.09011,5.12935,2.276,2.006,610900,610000,5314.999,16276.62,109.02,32.68,725000
