Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",year,Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price,GDP: Industry,GDP,Longitude,Latitude,Post Code
Aba,Sichuan,19.1121,19.11207957,191.3209,191.3209058,7.45524,8.41348,8.632,39.008,6.1,41278,0.212,0.01996,35470,NA,2.64035,30.58792,1.85002,70.06722594,0.53126,1.65321,NA,NA,NA,NA,1.30278,0.96578,1,NA,2019,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,19.1121,19.11207957,191.3209,191.3209058,7.45524,8.41348,8.632,39.008,6.1,41278,0.212,0.01996,35470,NA,2.64035,30.58792,1.85002,70.06722594,0.53126,1.65321,NA,NA,NA,NA,1.30278,0.96578,1,NA,2019,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,15.1722,15.17221168,154.51,154.5080355,4.47823,6.72117,11.0958,29.516,4,31487,0.487,0.03337,30264,NA,2.68146,24.16638,1.76688,65.89246157,0.17194,0.42522,NA,NA,NA,NA,1.432,0.73826,0.10714,NA,2017,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,15.1722,15.17221168,154.51,154.5080355,4.47823,6.72117,11.0958,29.516,4,31487,0.487,0.03337,30264,NA,2.68146,24.16638,1.76688,65.89246157,0.17194,0.42522,NA,NA,NA,NA,1.432,0.73826,0.10714,NA,2017,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,27.06,27.06002713,36.85,36.84994317,12.167,14.778,10.2738,44.963,7.5,54900,1.005,0.0444,40132,NA,3.18469,30.99812,2.19,68.76650475,0.954,2.431,NA,NA,NA,NA,NA,NA,NA,NA,2021,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,27.06,27.06002713,36.85,36.84994317,12.167,14.778,10.2738,44.963,7.5,54900,1.005,0.0444,40132,NA,3.18469,30.99812,2.19,68.76650475,0.954,2.431,NA,NA,NA,NA,NA,NA,NA,NA,2021,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,15.2673,15.26731125,NA,118.3759753,4.295,5.72703,14.7454,28.132,6.2,30171,1.226,0.03534,28048,NA,3.25955,22.10559,1.81793,55.77242257,0.19525,1.28587,NA,NA,NA,NA,0.841,0.453,NA,NA,2016,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,15.2673,15.26731125,NA,118.3759753,4.295,5.72703,14.7454,28.132,6.2,30171,1.226,0.03534,28048,NA,3.25955,22.10559,1.81793,55.77242257,0.19525,1.28587,NA,NA,NA,NA,0.841,0.453,NA,NA,2016,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,29.14,29.14531578,317.58,317.5500589,13.48,15.907,11.4558,46.251,1.3,56473,NA,0.044,41779,NA,3.475,30.334,2.317,66.67625899,0.61,2.13,NA,NA,NA,NA,NA,NA,NA,NA,2022,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,29.14,29.14531578,317.58,317.5500589,13.48,15.907,11.4558,46.251,1.3,56473,NA,0.044,41779,NA,3.475,30.334,2.317,66.67625899,0.61,2.13,NA,NA,NA,NA,NA,NA,NA,NA,2022,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
