Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Ankang,Shaanxi,2016,18.5428,30.3219547874736,306.26,498.7726958411479,15.629,16.65,12.1496,84.286,11.3,31770,9.51187,0.031,25962,36.052,3.01067,24.78005,1.7347899999999998,57.62139324469304,2.08834,2.30767,NA,NA,0.7850011,NA,6.104,NA,1.883,0.8819999999999999,610900,610000,3246.8,9511.87
Ankang,Shaanxi,2017,20.519,31.588863291075864,386.91,595.6424623864854,19.999,20.82,10.2098,97.466,10.5,36662,9.38749,0.30473,28158,NA,2.8021000000000003,27.44518,1.86985,66.73030941079904,2.3546500000000004,2.55887,NA,NA,0.015,NA,3.875,2.486,1.57026,0.09000000000000004,610900,610000,3713.945,9387.49
Ankang,Shaanxi,2018,19.6698,25.49597650274747,307.52,398.606343425663,22.301,23.767,8.6047,113.377,10.2,42544,12.992439999999998,0.071,24977,NA,2.75055,31.96579,2.24241,81.52587664285325,4.49433,4.480040000000001,NA,NA,NA,NA,3.97084,1.85136,1.97984,0.997,610900,610000,4600.57,12992.44
Ankang,Shaanxi,2019,24.503,31.359596676488504,289.19,370.10854816203374,28.964,30.684,7.5115,118.206,7.9,44241,16.27662,0.128,27016,NA,2.76966,36.87237,2.30707,83.29794992887213,7.16549,8.25235,NA,NA,0.0786,NA,7.09011,5.12935,2.276,2.006,610900,610000,5314.999,16276.62
Ankang,Shaanxi,2020,34.2604,42.88549779545914,373.1,467.02726565045225,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524012818117,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,610900,610000,5506.116,17508.42
Ankang,Shaanxi,2021,35.6283,44.096293357701775,463.02,573.657148303249,43.092,45.827,9.3369,120.9488,7.5,48687,20.51688,0.093,30496,NA,3.24809,34.78761,2.4475100000000003,75.35228395764896,5.95879,8.70907,NA,NA,NA,NA,NA,NA,NA,NA,610900,610000,5351.016,20516.88
Anshan,Liaoning,2016,49.65,71.80808995392043,406.07,587.5279076065908,72.59,NA,53.2005,146.19713,-10.3,40532,14.95845,2.7286364,31442.866,25.17,13.29602,24.99227,9.67143,72.73928589156755,4.16511,4.22624,NA,NA,0.0338496,NA,12.68039,-1.2299000000000009,12.39654,0.009199999999999877,210300,210000,3983.6,14958.45
Anshan,Liaoning,2017,44.8695,59.443082262054425,418.31,534.6123086907166,72.37899999999999,75.063,51.2037,161.31,3.9,44790,15.65999,4.0642794,33320.0051,35.18,14.02169,27.384120000000003,10.73891,76.58784354810297,3.28107,4.05933,NA,NA,0.2884681,NA,NA,NA,NA,NA,210300,210000,4197.456,15659.99
Anshan,Liaoning,2018,41.5919,52.95698091504679,420.08,534.8651345898593,72.82976,75.75383000000001,54.5931,175.1058,5.1541,48810,13.56472,4.34019,35619.085,47.3,15.14388,27.73957,12.6758,83.70245934331228,2.19334,2.9769300000000003,NA,NA,NA,NA,NA,NA,NA,NA,210300,210000,4834.889,13564.72
Anshan,Liaoning,2019,44.8393,49.28573548152461,420,461.6529729980594,78.25905,81.50088,46.8746,174.5321,6.1,48957,12.95042,4.2365900000000005,37756,NA,15.3272,32.69833,12.49466,81.519520851819,3.30466,4.25037,NA,NA,NA,NA,NA,NA,NA,NA,210300,210000,4978.205,12950.42
Anshan,Liaoning,2020,45.6158,51.08646373056131,340.03,380.8042585271312,79.31675,84.926,45.188,173.88,0.4,52020,13.707820000000002,4.12239,37979.868784,NA,15.72696,34.80341,11.34597,72.14344030887088,5.4694,7.426139999999999,NA,NA,NA,NA,7.956,0.3049999999999997,4.798,0.8189999999999997,210300,210000,5215.757,13707.82
Anshan,Liaoning,2021,44.3416,48.40704806402264,365.67,404.0178866675155,83.72,85.946,58.3993,188.80696,4.5,57188.23565,11.26316,6.91699,41018.258287,NA,17.00188,29.11314,13.162540000000002,77.41814434638994,3.51288,4.84386,NA,NA,NA,NA,NA,NA,NA,NA,210300,210000,NA,NA
Anyang,Henan,2016,8.2617,11.088964105731192,104.7,140.52805817077564,16.77,18.2,40.2585,202.98494,8.041557,39602.953858,27.98,NA,28167.60009,76.57000000000001,11.74474,29.17332,8.23475,70.11436609069251,4.23,5.26,NA,NA,NA,NA,3.75104,0.8660199999999996,NA,NA,410500,410000,3412.917,27980
Anyang,Henan,2017,8.085,11.329662498691029,96.77,135.61146246187437,18.19,20.5,50.1549,224.9854,7.200724,43846.119367,27.829,0.85678,30421.008,84.486,12.955000000000002,25.83,9.293,71.73292165187186,5.83,6.82,NA,NA,NA,NA,NA,NA,NA,NA,410500,410000,3670.375,26125.2
Anyang,Henan,2018,10.7763,14.588630907904982,91.34,123.61952206189144,25.79,29.229000000000003,42.6397,239.3224,6.7,46443.24,16.293,0.8949999999999999,32702.58,NA,15.41,36.14,11.7,75.92472420506165,12.82,13.330000000000002,NA,NA,NA,NA,NA,NA,NA,NA,410500,410000,4408.087,16293
Anyang,Henan,2019,13.8761,18.46822221703423,107.33,142.84116049915,30.93398,34.61,40.56,222.929458,2.7,43002.4498,17.348,NA,34959,NA,16.41,40.45206,12.14,73.97928092626448,12.4,14.04,NA,NA,NA,NA,NA,NA,NA,NA,410500,410000,5156.275,17347.75
Anyang,Henan,2020,16.7074,22.831951592205595,118.38,161.7976007802421,38.43494,44.701,40.5474,230.0475933,3.254764,42185.411135,20.192,0.918,35344,NA,17.48,43.11,12.56,71.85354691075514,14.93,20,NA,NA,NA,NA,0.8699999999999999,-1.403,7.422,5.893,410500,410000,5345.994,20192
Anyang,Henan,2021,20.3225,28.56954177717223,152.54,214.5418514372225,49.4949,56.027,53.5934,243.5468297,4.973303,44690.361714,23.44,0.99,37464.3,NA,20.06,37.43,13.835,68.96809571286141,12.3,18.17,NA,NA,NA,NA,NA,NA,NA,NA,410500,410000,NA,23440
Baise,Guangxi,2016,22.8904,30.871417003242257,62.78,84.64226579422764,25.507,26.118,23.3572,111.4309384,8.8,30881,8.1725,2.00104,26919,50.874,7.948,34.028,4.729,59.49924509310518,2.84,2.868,NA,NA,1.486695,NA,4.24883,NA,NA,NA,451000,450000,3951.53,8172.5
Baise,Guangxi,2017,20.931,30.35138724884707,63.82,92.1155031313156,28.503,28.964,21.7271,136.176,8.8,37479,10.792,NA,29126,69.007,8.25,37.971,5.043,61.12727272727273,4.066,3.675,NA,NA,NA,NA,3.21389,NA,NA,NA,451000,450000,3596.703,10792.19
