Province,Country,Type,Amount,Unit,ID,Source,year,value,Province.Code
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2018,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2017,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2020,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2012,271534,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2022,30910278,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2013,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2015,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2008,3922308,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2010,11983000,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2021,35162000,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2016,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2019,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2007,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2021,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2020,31445800,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2010,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2011,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2009,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2014,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2007,3527715,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2018,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2013,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2016,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2017,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2022,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2011,15173000,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2008,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2019,33741900,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2015,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2009,0,340000
Anhui,(DC) China,Revenue of Local Government Funds,Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,2006,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2006,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2014,0,340000
Anhui,China,Revenue of Local Government Funds,Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,2012,13021242,340000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2010,0,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2018,3939.24,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2022,2227.46,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2015,2028.4,110000
Beijing,China,Governmental Funds Revenue,Total,CNY 100mn,M6800057,Beijing People's Government,2019,2216.3,110000
Beijing,China,City Level,Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,2020,4268.35,110000
