Province,year,mean_carbon_emissions
Anhui,1995,NA
Anhui,1997,NA
Anhui,1998,NA
Anhui,1999,NA
Anhui,2000,5.4300425573333335
Anhui,2001,7.237536234999999
Anhui,2002,4.682979393666667
Anhui,2003,9.3911418472
Anhui,2004,9.9128896032
Anhui,2005,10.161783706571429
Anhui,2006,10.7750539205
Anhui,2007,11.403976438692307
Anhui,2008,13.981137790266667
Anhui,2009,15.9919127344
Anhui,2010,18.1539449556
Anhui,2011,20.5484596554
Anhui,2012,22.2741486456
Anhui,2013,23.374200437733332
Anhui,2014,24.591896013133333
Anhui,2015,24.974074912533332
Anhui,2016,25.825954567133333
Anhui,2017,29.71412839676923
Anhui,2018,22.085039334142856
Anhui,2019,22.992534096214285
Fujian,1995,NA
Fujian,1997,NA
Fujian,1998,NA
Fujian,1999,NA
Fujian,2000,NA
Fujian,2001,2.267432316
Fujian,2002,9.892501494
Fujian,2003,5.132207791
Fujian,2004,NA
Fujian,2005,16.43383998
Fujian,2006,13.988441133333334
Fujian,2007,18.714006421
Fujian,2008,23.93552938225
Fujian,2009,20.122651105375
Fujian,2010,22.464229156777776
Fujian,2011,25.757014396555554
Fujian,2012,25.855175703222223
Fujian,2013,27.464059205111113
Fujian,2014,28.32596147077778
Fujian,2015,26.747904955555555
Fujian,2016,20.520756857857144
Fujian,2017,27.46947019
Fujian,2018,30.806597287444443
Fujian,2019,32.77149562633333
Gansu,1995,NA
Gansu,1997,NA
Gansu,1998,NA
Gansu,1999,NA
Gansu,2000,3.849085362
Gansu,2001,4.422074503
Gansu,2002,12.997419862666666
Gansu,2003,14.2698331565
Gansu,2004,23.8058299
Gansu,2005,16.652910239249998
Gansu,2006,21.326258358666667
Gansu,2007,18.655877045500002
Gansu,2008,24.500497463666665
Gansu,2009,15.998345115166666
Gansu,2010,18.9509698516
Gansu,2011,20.4193645836
Gansu,2012,21.581650858
Gansu,2013,20.187943701
Gansu,2014,21.753459925166666
Gansu,2015,20.611403546333335
Gansu,2016,36.23290211
Gansu,2017,NA
Gansu,2018,17.310332704
Gansu,2019,42.10931587
Guangdong,1995,NA
Guangdong,1997,38.1729711
Guangdong,1998,38.82495088
Guangdong,1999,40.61232449
Guangdong,2000,11.5273437566
Guangdong,2001,10.201940714210526
Guangdong,2002,11.674531987235294
Guangdong,2003,12.649093799842106
Guangdong,2004,15.010002219
Guangdong,2005,15.964668317388888
Guangdong,2006,17.58983009435294
Guangdong,2007,18.957209311555555
Guangdong,2008,20.64112906073684
Guangdong,2009,21.322742594
Guangdong,2010,24.114838581
Guangdong,2011,26.047639836736842
Guangdong,2012,25.220573776052632
Guangdong,2013,26.023249221157894
Guangdong,2014,29.114350292050002
Guangdong,2015,29.0746073155
Guangdong,2016,31.065053436842103
Guangdong,2017,89.77890719999999
Guangdong,2018,31.75980578161111
Guangdong,2019,31.875281316000002
Guangxi,1995,NA
Guangxi,1997,NA
Guangxi,1998,NA
Guangxi,1999,NA
Guangxi,2000,8.442596102333333
Guangxi,2001,8.190321620999999
Guangxi,2002,9.1356106722
Guangxi,2003,18.256466169
Guangxi,2004,11.106120112333333
Guangxi,2005,18.6019636975
Guangxi,2006,17.2228729308
Guangxi,2007,14.881254471857144
Guangxi,2008,13.9528966682
Guangxi,2009,14.931195931444444
Guangxi,2010,15.8036919233
Guangxi,2011,17.630595372000002
Guangxi,2012,17.319779292846153
Guangxi,2013,21.086968964181818
Guangxi,2014,19.1844558219
Guangxi,2015,17.874162592666668
Guangxi,2016,10.037632326
Guangxi,2017,10.4294782765
Guangxi,2018,30.076350361666666
Guangxi,2019,31.93066205333333
Guizhou,1995,7.237990922
