Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Statistical_Division_Code
Chengdu,Tibet,23.86,23.854785478547853,281.58,281.5738215816128,7.228,7.503,7.71,NA
Da Hinggan Ling,Heilongjiang,25.46,25.464285714285715,302.76,302.76008492569,4.2780000000000005,4.394,11.93,NA
Deqen,Yunnan,39.75,39.754746835443044,569.76,569.6740670760511,12.06,13.438999999999998,10.22,NA
Garze,Sichuan,26.47,26.473704284442935,29.61,29.606635071090047,12.494,13.287,11.56,NA
Hedong,Tianjin,22.66,22.657361308677096,312.67,312.6993865030675,10.194,10.299,53.92,NA
Hinggan,Inner Mongolia,NA,NA,NA,NA,NA,NA,13.27,NA
Jiyuan,Henan,15.91,38.9723657245789,191.85,470.08229644628966,12.823,14.068,79.36,NA
Kashi,Xinjiang,44,44.00245513532472,490.73,490.7105606258149,60.220000000000006,62.959,10.23,NA
Kekedala,Xinjiang,NA,NA,NA,NA,NA,NA,NA,NA
Lanzhou,Gansu,29.81,287.4395939079289,321.92,3104.381039573487,99.66,107.952,45.61,NA
Ledong,Hainan,NA,NA,NA,NA,NA,NA,13.26,NA
Lingshui,Hainan,NA,NA,NA,NA,NA,NA,23.92,NA
Lupanshui,Guizhou,50.0166,119.77705347690846,373.3,894.279028064702,75.204,76.126,29.4293,NA
Lvliang,Shanxi,NA,NA,NA,NA,NA,NA,61.96,NA
Nan'an,Chongqing,27.45,90.31053498069689,187.8,617.8355487925662,25.314,25.32,62.41,NA
Nanning,Guangxi,25.45,139.389255490062,101.16,553.9625509264766,132.822,143.397,46.81,NA
Neimenggu,Inner Mongolia,40.3292,47.04697471317369,NA,332.1174239289276,933.9692828,NA,47.9924,NA
Nujiang,Yunnan,48.72,48.721642059776734,77.93,77.9328,12.177,12.57,11.19,NA
Pengshui,Chongqing,40.02,61.43341771208309,116.15,178.27823636196257,11.292,11.292,23.88,NA
Qianjiang,Hubei,10.67,32.158396566356515,81.52,245.71908234712168,9.46,10.244,33.45,NA
Qiannan,Guizhou,62.15,97.28756111473784,1003.44,550.3085082727788,110.1382132,111.5432197,24.3519,NA
Qianxinan,Guizhou,48.06,82.32855683437381,329,563.5482395186007,72.51356,73.28711,28.6539,NA
Shantou,Guangdong,26.8917,28.859033054973757,445.96,478.7267768081364,81.144,81.551,33.2122,NA
Shennongjia,Hubei,67.65,67.64542936288089,89.47,89.45349846698241,2.442,2.593,27.4394,NA
Tianmen,Hubei,15.67,33.556508524827066,88.65,189.87698844016435,11.438,12.143,24.78,NA
Tumxuk,Xinjiang,NA,NA,NA,NA,NA,NA,NA,NA
Ulanqab,Inner Mongolia,76.77,76.77866195107575,964.94,964.9709840721076,78.15299999999999,80.011,16.78,NA
Xiantao,Hubei,11.09,29.267663009139905,325.55,859.2361663598957,11.234,12.291,34.03,NA
Xinxing,Xinjiang,NA,NA,NA,NA,NA,NA,NA,NA
Yubei,Chongqing,9.07,102.79014250442944,127.61,1446.4608199482357,20.83,20.84,51.6,NA
