Province.Code,Region
110000,Beijing
120000,Tianjin
140000,Lvliang
150000,Erdos
150000,Hulunbuir
150000,Hinggan League
150000,Xilingol League
150000,Alxa League
210000,Tiding
220000,Jilin
230000,Greater Khingan Rang
310000,Shanghai
340000,Maanshan
340000,Chaohu
370000,Jinan
370000,Wei fang
370000,Laiwu
420000,NA
440000,Zhanjiang
500000,Chongqing
510000,Ngawa
510000,Ganzi
520000,Liupanshui
520000,Tongren
520000,Bijie
530000,NA
530000,Diqing
540000,Lasa
540000,Changdu
540000,Shannan
540000,Rikaze
540000,Naqu
540000,NA
540000,Linzhi
630000,Haidong
650000,Tulufan
650000,Hami
650000,Bayingol
650000,Akesu
650000,Kizilsu
650000,Hetian
650000,lli
650000,Aletai
